review_id,puskesmas_id,puskesmas_name,wilayah,rating,stratum,review_text
PKM_SBY_022_R0453_cb8ef981,PKM_SBY_022,Sawah  Pulo,Surabaya,1,Surabaya | panjang | 1★,"Saya Kecewa sama pegawai puskesmasnya ngantri selama 2jam setengah .ketika mau ambik obat malah suruh vaksin dulu kalo gak mau vaksin gak di kasih obat .
Padahal saya mau berobat bukan vaksin.karyawannya gada yg ramahnya sama sekali sama pasien."
PKM_SBY_032_R0039_db9d5939,PKM_SBY_032,Dr Soetomo,Surabaya,1,Surabaya | panjang | 1★,"Sombong bgt pelayanan puskesmas dr soetomo gak kayak puskesmas kedungdoro, masak di bilang jgn kesini lagi ya obat saya nantik habis soalnya pakai bpjs mandiri faskes benowo. Puskemas lain gak pernah bilang kyk gini parah ."
PKM_SBY_017_R0572_0ff1019b,PKM_SBY_017,Morokrembangan,Surabaya,1,Surabaya | panjang | 1★,"Buruk polll ..
Pelayanan judes poll ..
Ksini cuman butuh rujukan, prosesnya lama, padahal sepi
Cuma nunggu stempel malah guyon2 gak jelas.
LELET, JUDES, GAK RAMAH
Gak pernah dan gak mau periksa disini, ksini cuma buat minta rujukan Faskes tingkat 1"
PKM_SBY_008_R0677_d3a13869,PKM_SBY_008,Jagir,Surabaya,2,Surabaya | sedang | 2★,"Untuk poli gigi dokternya ketus banget,sdh tua masih aja ketus,dlu sblum pandemi dokternya pelayanannya ramah,skg sangat tidak nyaman."
PKM_BTL_013_R1066_4d3c65da,PKM_BTL_013,Kasihan 1,Bantul,1,Bantul | panjang | 1★,"Saya rating 1 mohon maaf. Ini adalah faskes pertama saya, ingat kejadian februari lalu saya melahirkan. Dari saya priksa hamil saja ya Uda dapet pelayanan ga menyenangkan. Minta rujukan krn pendarahan aja susahnya puolll. Wlopun akhirnya dapet ya makasihhh. Tp saat melahirkan, bisa2 nya dblg plasenta nya agak kesamping (gatau mksdnya apa). Krn saya Uda kesakitan bgt gabisa jwb , pdhl paginya saya habis priksa loh dan USG kata dokter Irfan yang praktek di PKU Bantul smuanya AMAN dan SEHAT. Tp pas malamnya datang 3 org yg jaga puskesmas di jam 11 malam, liat buku KIA Saya ,.pertama dia blg ""ini ga pernah di tulis ya hasil priksanya?"" Padhal di tulis dan ada!! Kedua dia mendiagnosis begitu tanpa memegang perut saya wkwk. Dan lgsg suruh ke PKU Bantul tanpa dibawakan rujukan. Katanya , ""bisa ko gausah pake rujukan"" .. nyatanya bullshit. Inget ya kerja jujur itu berkah, kerja ga jujur ga tuntas awas hati2..moga berbenah ya"
PKM_SMG_033_R1538_c3e0f093,PKM_SMG_033,Srondol,Semarang,1,Semarang | pendek | 1★,"pelayanan lama, staf tidak ramah"
PKM_SBY_025_R0139_0e60119e,PKM_SBY_025,Siwalankerto,Surabaya,1,Surabaya | sedang | 1★,"pasien dan pengunjung di suruh tenang, gak boleh berisik...
tapi petugasnya yg berisik ketawa keras kayak di pasar"
PKM_SBY_039_R0310_72369e12,PKM_SBY_039,Kenjeran,Surabaya,1,Surabaya | panjang | 1★,"DARI SEMUA PELAYANAN HANYA PELAYANAN LABORATORIUM YANG KURANG BAIK . SANGAT DI SAYANGKAN.MBAKNYA ITU” SAJA YG BIKIN MASALAH, KETUANYA PUN JUGA TIDAK PATUT . SEMOGA BISA DI GANTI.
SAYA MAU LAPORKAN BLM SEMPAT . SUDAH BEBERAPA KALI SANGAT TIDAK PANTAS DI SEBUT PELAYAN KESEHATAN. INFO KONTAK LAPORAN. AKAN SAYA KELASKAN MAKSUD DAN KELUHAN SAYA."
PKM_BTL_025_R0144_b8bd0ccc,PKM_BTL_025,Sewon 1,Bantul,2,Bantul | panjang | 2★,"maaf saya mau memberi kritik dan saran buat petugas perempuan yg tugasnya mencetak lembaran rujukan pada tanggal 18 Januari 2024 sekitar jam 12an siang di pukesmas tsb.
pelayanannya sangat judes dan galak bangetttt, udah kaya ngalahin ibu tiri saja. tidak hanya itu, petugas itu jg menuduh saya meningalkan tempat padahal saya masih stay & sabar menunggu di kursi antrian.
tolong sampaikan pada petugas tsb kalau ada pasien awam yg tidak paham tentang prosedur mau berobat itu di jelaskan dgn baik baik, tidak perlu pakai nada tinggi. kasian loh pasiennya kalau diperlakukan seperti itu, apalagi kalau yg di perlakukan seperti itu orang yg sudah tua.
sebaiknya di perbaiki lagi sopan santun dan perilakunya walaupun saya lebih muda dari petugas tsb"
PKM_SBY_005_R0242_80cc2c1c,PKM_SBY_005,Dukuh  Kupang,Surabaya,2,Surabaya | panjang | 2★,"Jjur klw periksa kesini gc pernah cuman jjur q kecewa saat kondisi darurat minta tlong tetangga telponkan 112/yg lain buat panggilin ambulance datangx lama banget sampai nyawa ayah saya tdk tertolong😭.tlong klw ada darurat cepet"" datang diperbaiki,semoga dokter yg waktu itu datang sama supirx mengalami hal yg sma seperti sya biar tau rasax gymn😤"
PKM_SBY_016_R0391_ceddad6f,PKM_SBY_016,Menur,Surabaya,1,Surabaya | pendek | 1★,Pelayanan sangat buruk
PKM_SBY_032_R0422_337b7de1,PKM_SBY_032,Dr Soetomo,Surabaya,1,Surabaya | panjang | 1★,"Dari pendaftaran sampe dokternya gaada yg menghargai pasien, padahal pke BPJS kantor di pot tiap bulan tp dilayani kek gitu ashhh ampunnn gak ada yg usut orng sakit malah kenak mental pdhl gaji dipot tiap bulan gk gratisan para dokter2 yg muliaaaaaaa"
PKM_SBY_043_R0355_3fde8366,PKM_SBY_043,Lontar,Surabaya,2,Surabaya | sedang | 2★,"Pelayanan sudah baik mulai pendaftaran sampai laboratorium petugasnya full senyum, cuma dibagian KIA  petugas yang tadi di depan  judes tidak bisa senyum."
PKM_SBY_062_R0191_c9369444,PKM_SBY_062,Tenggilis,Surabaya,2,Surabaya | panjang | 2★,"Mulai dari pendaftaran , pelayanan dan fasilitas sudah bagus , yang sangat di sayangkan adalah system pemanggilan pasien.
1. Pemanggilan antrian suaranya kurang keras .
2. Pemanggilan no. Urut acak-acakan .
3. Klo untuk imunisasi bayi saja mending dipisah biar TDK menunggu terlalu lama, karena menurut saya bayi lebih rentan tertular penyakit jika terlalu lama menunggu bersama yg lagi sakit.
4. Kursi prioritas utk disabilitas,orang tua , ibu hamil .
Menurut saya itu yang perlu di perbaiki.
Selain itu semua sudah bagus , terima kasih."
PKM_BTL_026_R0401_0be434b2,PKM_BTL_026,Sewon 2,Bantul,1,Bantul | pendek | 1★,Pelayanan burukk... Sangat sangat burukk...
PKM_SBY_058_R0299_bfe7ae0b,PKM_SBY_058,Tambakrejo,Surabaya,1,Surabaya | sedang | 1★,"Pelayanan sangat tidak sepenuh hati, cuek dan acuh"
PKM_SBY_003_R0359_94c9b12a,PKM_SBY_003,Banyu  Urip,Surabaya,1,Surabaya | pendek | 1★,Pelayanan puskesmas terlelet yang pernah ada
PKM_SMG_022_R0851_87ad9fd6,PKM_SMG_022,Ngaliyan,Semarang,1,Semarang | panjang | 1★,"Pelayanan 0 bangettttt . Namanya sakit nggak tau kapan.
Sakit malem udah sampe pingsan di giniin . Besok besok kalo kesini pas jam kerja ya ..
Dikata sakit bisa di rencana .mendinh kalo malem di tutup aja puskesmas kaga usah buka biar pda tau .
Anehhhh ..

Pdan lemes ditanya tanyain di kasih obat disuuh pulanh . 🤣🤣🤣

Alhasil pulang dari perantauan periksa hasilnya DBD wkwkwwkwkwkwkww"
PKM_SBY_009_R0485_a282a556,PKM_SBY_009,Jemursari,Surabaya,2,Surabaya | sedang | 2★,"Pelayanan sangat buruk , vaksin dosis dua lama sekali 2 jam gak selesai², mhon ditingkatkan kualitas pelayanan nya! petugas pendaftaran sangat tidak humanis!"
PKM_BTL_014_R0400_53918fe5,PKM_BTL_014,Kasihan 2,Bantul,1,Bantul | sedang | 1★,Ga asik... di web informasi tertulis sabtu buka dg pendaftaran max 10.30... sabtu datang 09.00 pendaftaran dah tutup woi...
PKM_SBY_044_R0111_887e7d21,PKM_SBY_044,Manukan Kulon,Surabaya,1,Surabaya | panjang | 1★,"saya habis jatuh dan diminta untuk X-ray agar segera dapat penanganan, namun di Puskesmas ini hanya untuk minta rujukan ke Rumah Sakit saja tidak dilayani dan katanya harus kembali besok tanpa melihat kondisi penderita"
PKM_BTL_001_R0034_6e9b5809,PKM_BTL_001,Bambanglipuro,Bantul,1,Bantul | sedang | 1★,"Saya beri rating 1 khusus untuk perawat fisioterapi wanita yang sangat tidak ramah dan terkesan judes..

Kalau yang bapak2 orangnya halus sopan banget.."
PKM_BTL_026_R0304_a9506dc0,PKM_BTL_026,Sewon 2,Bantul,1,Bantul | sedang | 1★,apa guna nya punya nomer telpon kalau ditelpon berkali-kali ga diangkat
PKM_SMG_035_R1641_57c11a8e,PKM_SMG_035,Telogosari Kulon,Semarang,1,Semarang | pendek | 1★,Pelayanan farmasi burukkk
PKM_BTL_004_R0680_4046beaa,PKM_BTL_004,Banguntapan 3,Bantul,1,Bantul | panjang | 1★,"Pelayanan buruk. Katanya kalo vaksin pertama disitu, ntar langsung disediakan dosis keduanya. Ternyata dosis kedua kosong, katanya dari dinkes nya ga ada. Ditelpon ga diangkat. Di wa ga bales. Kalo mmg telepon dan hpnya ga difungsikan, mohon tdk dicantumkan di google dan instagram"
PKM_SBY_052_R0431_99374ca2,PKM_SBY_052,Rangkah,Surabaya,2,Surabaya | pendek | 2★,Agak kecewa dan kurang ramah
PKM_SBY_062_R0541_c623903a,PKM_SBY_062,Tenggilis,Surabaya,1,Surabaya | pendek | 1★,Untuk pelayanan bpjs setengah hati pelayanannya
PKM_BTL_006_R0199_d2625004,PKM_BTL_006,Bantul 2,Bantul,1,Bantul | sedang | 1★,Pelayanan lama kurang ramah. Rencana mau priksa ke urologi faskes tingkat selanjutnya karena di curigai ada batu kencing dan tidak di berikan rujukan. Padahal sudah ada keterangan diagnosa dari rsps..
PKM_SBY_025_R0257_58fabcc7,PKM_SBY_025,Siwalankerto,Surabaya,2,Surabaya | pendek | 2★,Tidak melayani 24 jam seperti yang tertera
PKM_SMG_037_R0500_69c1c0fc,PKM_SMG_037,Karanganyar,Semarang,1,Semarang | sedang | 1★,"Pelayanan lama
Udah tau mau kontrol kehamilan malah di kasih di BPumum bukan KIA. Ngantri lama slaah suruh ngantri ulang lagi. Hampir 3 jam nunggu buat kontrol kehamilan."
PKM_SMG_033_R1574_be563272,PKM_SMG_033,Srondol,Semarang,1,Semarang | panjang | 1★,"Pelayanan sdh bagus, tempat jga bersih, nyaman. Tpi msh ada kekurangannya, pada saat pemeriksaan tlg untuk lebih teliti dalam pemberian obat, terutama anak kecil.
Jgn sampai slh obat, karna bukannya sembuh tpi mlh makin p**** sakitnya.
Mohon maaf bila saya ada salah kata dlm hal penyampaian kritik.
Karna kritik bsa lbh membangun, dan tdk terulang kejadian yg seperti saya alami."
PKM_SMG_006_R0388_93509555,PKM_SMG_006,Gayamsari,Semarang,2,Semarang | pendek | 2★,nunggu obat hampir satu jammmm
PKM_SBY_034_R1093_0bb3381c,PKM_SBY_034,Gading,Surabaya,1,Surabaya | sedang | 1★,"Kalau ada bintang 0 udah aku kasih
Pelayanan gak ramah sama sekali, orang²nya judes²"
PKM_SMG_035_R0007_d10c3617,PKM_SMG_035,Telogosari Kulon,Semarang,1,Semarang | pendek | 1★,ambil obat di farmasinnya lama banget hampir 2jam
PKM_SMG_004_R0195_ff3a0d42,PKM_SMG_004,Bulu Lor,Semarang,2,Semarang | sedang | 2★,"pelayanan kurang kebanyakan pda ngobrol dan mainan hp,,nunggunya lamaa pdhl di dlm kosong tapi gak langsung di panggil"
PKM_BTL_013_R1080_a3df282d,PKM_BTL_013,Kasihan 1,Bantul,1,Bantul | panjang | 1★,"saya pernah sesak nafas sudah masuk ugd tapi suruh keluar harus mangantri ke poli batuk, badan udah ga karuan rasanya tp mana pertolongan pertama nya gak ada respon sama sekali. sangat kecewa dgn pelayanannya"
PKM_SBY_008_R0763_2a9bbe9b,PKM_SBY_008,Jagir,Surabaya,1,Surabaya | panjang | 1★,"pelayanan SANGAT BURUK, kita pakai BPJS KELAS 1 itu bayar BUKAN GRATIS. Minta rujukan gak dikasih!!! Jelas2 direkomendasikan dokter luar untuk minta rujukan ke puskes supaya bisa ke RS. pecat aja yg dipoli umum itu tua2 gak baik ngomongnya. seenaknya aja klo ngomong. gak sekali dua kali loh ya. dari 2015-2021 gk ada perbaikan layanan. PEMERINTAH HARUS TAU INI PUSKESMAS GAK BAGUS PELAYANANNYA."
PKM_SMG_033_R1622_ece4fa7f,PKM_SMG_033,Srondol,Semarang,1,Semarang | sedang | 1★,"pelayanan buruk panggilan per orangnya kurang keras , kurang sopan juga,"
PKM_SBY_018_R0023_b0d24982,PKM_SBY_018,Mulyorejo,Surabaya,1,Surabaya | sedang | 1★,"Untuk meminta surat Rujukan ke rumah sakit aja di tolak malah dirujukan rs lain 😀😀
padahal lagi butuh suratnya"
PKM_SMG_008_R0751_2e232565,PKM_SMG_008,Gunungpati,Semarang,1,Semarang | sedang | 1★,Lama . Bolak balik.  Untuk pelayanan kurang . Habis ngantar istri di poli KIA .  Trus harus ke. Lab stlah itu kmbli lagi ke KIA stlah itu harus ke konsultasi gizi trus nunggu obat lama.
PKM_SBY_001_R0056_9680ba5c,PKM_SBY_001,Balas  Klumprik,Surabaya,1,Surabaya | sedang | 1★,Pelayanan castomer nya dr pendaftaran sdh ramah & baik. Yg perlu diperbaiki poli umum & farmasi. Dokter ny sm asistennya krg memuaskan & krg profesional
PKM_SBY_056_R0183_405c98b8,PKM_SBY_056,Simolawang,Surabaya,1,Surabaya | sedang | 1★,"poli KIA nunggunya lama bgt, saya nunggu dari jam 7.30 sampai 9.30 juga ga nyampe antrian, ini yg lama karna apa juga gatau deh, kasian ibu hamil yang nunggu lama gini"
PKM_SBY_007_R0660_b761ad23,PKM_SBY_007,Gunung  Anyar,Surabaya,1,Surabaya | pendek | 1★,"Pelayanannya kurang ramah, mengecewakan"
PKM_SBY_050_R0144_c8d39614,PKM_SBY_050,Perak Timur,Surabaya,1,Surabaya | sedang | 1★,"Udah nunggu lama di depan apotik ternyata dokter gigi nya belum masukkan resep ke apotik.
Sampai pasien habis baru dipanggil.
Gak mungkin lupa selain ada kesengajaan."
PKM_SBY_005_R0672_300ed66e,PKM_SBY_005,Dukuh  Kupang,Surabaya,2,Surabaya | sedang | 2★,"Ya kali lagi rawat inap gak ada yang nemenin masak pegawainya disuruh nganter makanan ke kamar ngak ada yang mau, gilak"
PKM_SBY_021_R0409_8c3afdfb,PKM_SBY_021,Putat  Jaya,Surabaya,1,Surabaya | panjang | 1★,Saya dapat nomor antrian 80 saya tanya sekarang nomor berapa jawabnya GAK TAU sebenrnya sistem kerja  bagaimana?dan untuk pemanggilan antrian bukan manggil nomor tapi manggil nama.mending gak usah kasih nomor antrian
PKM_SBY_011_R0688_bcaa1264,PKM_SBY_011,Kebonsari,Surabaya,1,Surabaya | sedang | 1★,Baru prtama bawa anak periksa di situ.. pelayanan nya jutek sombong Ngomel pulak .. dokternya aja santuy .. gk bisa menghargai orng..
PKM_BTL_026_R0049_399c77cf,PKM_BTL_026,Sewon 2,Bantul,1,Bantul | pendek | 1★,pelayanan lama pol dan tidak ramah👎
PKM_BTL_020_R0146_75d5a59b,PKM_BTL_020,Pleret,Bantul,1,Bantul | pendek | 1★,Pelayanan harus di tingkatkan lagi
PKM_SBY_003_R0308_7444b8e2,PKM_SBY_003,Banyu  Urip,Surabaya,1,Surabaya | pendek | 1★,Pegawai puskesmas sangat tidak layak melayani
PKM_SBY_027_R0113_32534529,PKM_SBY_027,Wiyung,Surabaya,1,Surabaya | panjang | 1★,"1jam menunggu belum dipanggil panggil . Ditanya malah judes . Instansi pemerintah tapi pelayanannya sangat buruk. Poli umum disuruh ke poli anak disuruh ke igd. Shrus nya sya datang itu tau data nya kan ada. LAMBAT DAN SOK JUDES . Tolong kalau ikut pemerintah itu gak usah belagu jd karyawan!
Pak WALIKOTAtolong dong dibenahi karyawan dipuskesmas wiyung. Baik karyawan ataupun bidannya. Kalau gak bs ramah ga usa kerja jadi pelayan masyarakat!"
PKM_BTL_009_R0159_8768ae2f,PKM_BTL_009,Imogiri 1,Bantul,1,Bantul | pendek | 1★,Mau minta rujukan aja sulit
PKM_BTL_018_R0151_a519de17,PKM_BTL_018,Pandak 2,Bantul,2,Bantul | pendek | 2★,Antri obatnya lama banget
PKM_SBY_034_R1064_842ae40f,PKM_SBY_034,Gading,Surabaya,1,Surabaya | pendek | 1★,Pemeriksaan terlalu ribet
PKM_BTL_013_R1280_3877ebdc,PKM_BTL_013,Kasihan 1,Bantul,1,Bantul | sedang | 1★,"PELAYANAN TIDAK RAMAH SAMA SEKALI!!!!! TIDAK JELAS, DITANYAIN BAIK2 JAWABNYA SENGAK!!!!!!!!!"
PKM_SBY_010_R0355_683620d0,PKM_SBY_010,Kalijudan,Surabaya,1,Surabaya | panjang | 1★,"Saya bertanya detail tentang pemeriksaan catin dan mencoba menjelaskan situasi saya dengan calon pasangan (WNA) dengan intonasi yang wajar. Namun petugas jaga wanita yang melayani pertanyaan saya tiba2 membentak 'pelan-pelan!' padahal saya bersikap sopan dan menyadari posisi saya sebagai orang awam dengan dunia medis. Petugas ini juga berkali2 bilang saya harus bayar dan meskipun saya bilang tidak masalah, dia tetap melayani saya dengan ogah2an seolah saya tidak akan mampu membayar. Maaf, tapi bila disepelekan seperti itu, saya memilih pergi dan memilih fasilitas kesehatan lain yang lebih memiliki etika"
PKM_SMG_028_R0303_8c821687,PKM_SMG_028,Poncol,Semarang,1,Semarang | panjang | 1★,"Pelayanan lama, monitor antrian mati, yang meriksa malah ibu2 perawat bukan dokternya. nunggu obat lama, yang nyiapin obat anak magang. Pelayanan sempat berhenti cuman untuk senam tidak penting. Harus ekstra sabar disini."
PKM_SBY_023_R0471_e3ef6a64,PKM_SBY_023,Sawahan,Surabaya,2,Surabaya | pendek | 2★,Tempat parkirnya sempit
PKM_SBY_021_R0338_2200b55d,PKM_SBY_021,Putat  Jaya,Surabaya,1,Surabaya | sedang | 1★,"hr ini baru sj berobat, tapi pelayanan lambat.
Setelah itu bertengkar antara pasien sama petugas administrasi di jam 10:30

Pelayanan lamban membuat pasien terheran heran"
PKM_SMG_026_R0642_ace0d934,PKM_SMG_026,Pandanaran,Semarang,2,Semarang | sedang | 2★,"Ternyata minta surat sehat mahal ya di Sini. Pendaftaran 10rb, surat sehatnya 20rb, katanya ada peraturan baru , padahal terakhir temen minta surat sehat cuma 10rb."
PKM_SMG_002_R0103_b7929ce0,PKM_SMG_002,Bangetayu,Semarang,1,Semarang | panjang | 1★,"Bagian pendaftaran, pelayanannya sebenernya bagus. Cuma ahli gizinya minus bangett, intinya bukan semua tp diantaranya. Dan blm sempet dikasi solusi sama dokternya, lgsung diarahkan ke pihak gizi. Intinya Konsul masalah Bb soalnya bb anak termasuk kurang, dan itu uda bbrapa bulan di garis merah, posisi si baby jg minumnya susah bgt. Tp malah gadapat solusi sama sekali. Cuma bilangya ditingkatkan lagi aja minum dan makannya😆. Niatnya mau minta rujukan biar 2 minggu sekali ke DSA ga pake UMUM, eh malah responnya gitu😁 intinya blm bisa kasih surat rujukan. Its okey lah, tp agak lucu aja debat sama pihak gizi tp gadapat solusi samsek😆"
PKM_SMG_020_R1006_3bd39644,PKM_SMG_020,Mijen,Semarang,2,Semarang | panjang | 2★,"Antri di klinik gigi, nomor urutan nya naik turun tidak jelas. Sudah tertulis bhw nomor yg terlewat akan dpanggil selang 2 pasien. Eh nomor nya kembali lagi ke awal, pdhl pasien tidak ada.
Dokter gigi nya yg pakai baju merah (tgl 30/09/2023)r tidak sopan sekali. Lagi konsul tetiba nyelonong ikut-ikutan menyimpulkan sesuatu tanpa dimintai pendapat. Mana ngomong nya triak lagi...
Butuh pendampingan utk klinik tsb"
PKM_SMG_012_R0639_ec87b272,PKM_SMG_012,Karangdoro,Semarang,1,Semarang | sedang | 1★,"Petugas tidak ramah dan kurang kompeten. Antrean kosong tapi nomor selanjutnya tidak kunjung dipanggil, malah mainan hp."
PKM_BTL_020_R0121_aaa30902,PKM_BTL_020,Pleret,Bantul,2,Bantul | sedang | 2★,"Pelayanan bagian administrasinya sangat bagus, tapi untuk bagian pemeriksaan dokternya tidak ramah banget."
PKM_BTL_011_R0111_2bc41e4e,PKM_BTL_011,Jetis 1,Bantul,2,Bantul | panjang | 2★,"Daftar online maupun offline sama saja, udah daftar online tapi tetap dapet antrian belakang, padahal di pendaftaran online nomer 17, sampai nya di pelayanan dapat nomor antrian 28.

Dan di aplikasi jkn tertera sudah dilayani padahal belum dilayani dan masih antri.

Tolong di perbaiki untuk sistem pelayanannya. Demi kenyamanan masyarakat Jetis."
PKM_SMG_022_R1154_8c5af0e4,PKM_SMG_022,Ngaliyan,Semarang,2,Semarang | panjang | 2★,"Sebaiknya pelayanan terhadap pasien di perbaiki agar lebih ramah, dan pasien bisa lebih nyaman ketika sedang di chek kesehatannya. Sudah 2 kali priksa di sana tapi keramahan terhadap pasien sangat kurang."
PKM_SMG_019_R0349_d95f541d,PKM_SMG_019,Manyaran,Semarang,2,Semarang | panjang | 2★,"Dari alur depan resepsionis tu udah bagus sebenarnya. Cepet. Tapi pas nunggu KIA. Lama banget. Ngapain sih sebenernya didalam. Dari antrian ruang G, dipindah ke F. Dokter di ruang anaknya ga ada. Anakku selak loro, nunggune sejam luwih. Tolong dong ini dibenahi. Kasian anak anak yg sakit. Ga bisa nahan. Nangis nangis doang bisanya."
PKM_BTL_026_R0002_81c3e430,PKM_BTL_026,Sewon 2,Bantul,1,Bantul | panjang | 1★,"tolong untuk dokter jika memeriksa pasien dengan diagnosa yang benar, sering sekali periksa dengan dokter laki”didiagnosa yang berbeda beda dan tidak ada penyelesaian, bahkan pernah tindakan kuku dengan beliau tapi hasilnya tidak bagus, padahal dulu pernah tindakan kuku juga tapi bagus hasil nya."
PKM_SBY_020_R0570_aae125cb,PKM_SBY_020,Pakis,Surabaya,1,Surabaya | panjang | 1★,"22/06/2021
Sangaaaat kecewaa...oleh beberapa org
Apalagi di Pos pendaftaran(yg tmp ambil nomer antrian), itu yg jaga satpam ato apa ya?
Kinerja buruk(mungkin sudah tua),ndak ramah(ngomong bentak""),
Ambil hasil vaksin katanya pagi,pagi datang bentak"" disuruh sore..(klo tau gt kemaren Nda usah bilang pagi ambil bapakkkkk😠)
Ok gpp..tapi cara berbicara sangat tidak sopan..etika berbicara itu penting klo kerja itu
Klian digaji untuk melayani masyarakat loo..
Tapi pelayanan kok gt.."
PKM_SMG_012_R0656_7e90f0f1,PKM_SMG_012,Karangdoro,Semarang,1,Semarang | pendek | 1★,"Penanganan yg buruk, selalu mengulur waktu/jadwal"
PKM_SBY_016_R0206_2b79f1e7,PKM_SBY_016,Menur,Surabaya,1,Surabaya | sedang | 1★,Poli lansia Pelayanan kurang cepat...terlama menunggu kasihan pasien lansia itu kan sudah tua2
PKM_SBY_053_R0052_68837a81,PKM_SBY_053,Sememi,Surabaya,1,Surabaya | panjang | 1★,"Saya mau ke poli KIA pdhal di pendaftarannya tertulis nomor 35 pukul set 12siang , Saya ksana set12 kurang  untuk cek kehadiran katanya sudah gabisa , Malah ditnya jam sgini kok Bru dtg mbak akhirnya disuruh tnya di Poli KIA katanya sudah ttup  dokternya sudah pulang jam 11 siang.
Kalo memang terima smpai jam 11siang aja antriannya klo bisa ya di ttup aja smpai jam 11 siang

Sedangkan 2mg yg lalu saya antrian nomer 26 smpai jam 11siang , pelayanannya juga agak lambat wktu di USG pdhal antrian saya dluan ketimbang balita"" tp saya terakhir smpai saya Bru masuk ditempat USG jam 12siang"
PKM_SBY_047_R0089_93ed2959,PKM_SBY_047,Pacar Keling,Surabaya,1,Surabaya | sedang | 1★,"Lama banget laboratorium ,test dahak hari kamis udh dikasih tanda terima hasilnya hari sabtu, hari Sabtu ke puskesmas buat cek hasilnya masih belum juga, gimana sebenernya kerjanya !!!"
PKM_SBY_009_R0403_987c2245,PKM_SBY_009,Jemursari,Surabaya,1,Surabaya | sedang | 1★,"Mbak2 admin vaksinnya juteknya ampun dah, ditny baik2 nyolot dan jwbnya gak tau gak tau. Sm org lain jg sy perhatikan jwbnya nyolot jetek. Jng jahat2lah mbak"
PKM_SBY_041_R0332_46503924,PKM_SBY_041,Krembangan Selatan,Surabaya,2,Surabaya | panjang | 2★,"Sudah menunggu cukup lama dan baru dikabari kalo petugas di poli yg saya tuju tidak ada
Saya tahu memang petugas mempunyai kepentingan lain diluar kantor tp sebaiknya langsung diberitahu kalo petugas tidak ada saat pasien mendaftar di awal
Ada petugas yg tau kalo petugas tidak ada ditempat tapi diem aja dan baru ngasih tau waktu udh nunggu lama
Daann tidak ada permintaan maaf
Mungkin perlu ada training bagaimana cara komunikasi pada pasien karna budaya meminta maaf saya lihat tidak ada disini"
PKM_SMG_020_R0806_9eb5e93b,PKM_SMG_020,Mijen,Semarang,1,Semarang | sedang | 1★,"Pelayanan tidak ramah
Minta surat rujukan diangel2
Petugase galak2"
PKM_SBY_005_R0157_eb59cbcc,PKM_SBY_005,Dukuh  Kupang,Surabaya,1,Surabaya | panjang | 1★,"Dokter dalam ruangan santai aja ngobrol sendiri pasien di luar menunggu resah... Pak Eri Cahyadi hes turun tangan ini klo dbiarkan membunuh warga surabaya!!!
Keluarga karyawan puskesmas langsung masuk dan di periksa meski warga luar surabaya beda dengan warga surabaya yang sudah antri sampai 3jam lebih!!!!"
